Region, District No, District, School No,Type,County, School, Email, Title, Status, Phone1, Fax, Grade Levels,ADDRESS,geometry,lng,lat
SOUTH CENTRAL CORE REGIONAL OFFICE,280,GILES COUNTY,84,Public,Giles,Richland School,mlanders@gcboe.us,Principal: Micah Landers,A,(931) 527-3577,,"6,7,8,9,10,11,12","10610 Columbia HWY, Lynnville, TN 38472",POINT (-87.03181789999999 35.3370676),-87.0318179,35.3370676
MID CUMBERLAND CORE REGIONAL OFFICE,9190,DAVIDSON COUNTY PRIVATE SCHOOLS,9700,Private,Williamson,Ridgecrest Academy,myridgecrest@gmail.com,Principal: Rebecca Rosenblatt,A,(615) 979-0748,,"K,1,2,3,4,5,6,7,8,9,10,11,12","301 Plus Park Blvd. Suite 510, Nashville, TN 37217",POINT (-86.72600179999999 36.1277094),-86.72600179999999,36.1277094
EAST TENNESSEE CORE REGIONAL OFFICE,470,KNOX COUNTY,212,Public,Knox,Ridgedale Alternative School,kristi.phillips@knoxschools.org,Principal: Kristi Phillips,A,(865) 909-9099,(865) 909-9098,"6,7,8,9,10,11,12","4600 Ridgedale RD, Knoxville, TN 37921",POINT (-84.03136909999999 35.9868882),-84.03136909999999,35.9868882
SOUTHWEST CORE REGIONAL OFFICE,792,SHELBY COUNTY,2615,Public,Shelby,Ridgeway High,STENCELJR@SCSK12.ORG,Principal: Jonathan Stencel,A,(901) 416-8820,(901) 416-2199,"9,10,11,12","2009 Ridgeway, Memphis, TN 38119",POINT (-89.86039219999999 35.0886441),-89.86039219999999,35.0886441
SOUTHWEST CORE REGIONAL OFFICE,490,LAUDERDALE COUNTY,40,Public,Lauderdale,Ripley High School,sbyrd@mail.lced.net,Principal: Stephen Byrd,A,(731) 635-2642,(731) 635-7151,"9,10,11,12","254 Jefferson ST, Ripley, TN 38063",POINT (-89.53973809999999 35.7350344),-89.5397381,35.7350344
FIRST TENNESSEE CORE REGIONAL OFFICE,9301,GREENEVILLE PRIVATE SCHOOLS,9005,Private,Greene,River Academy,christymoore@holstonhome.org,Principal: Christy Moore,A,,(423) 638-3752,"K,1,2,3,4,5,6,7,8,9,10,11,12","404 Holston DR, Greeneville, TN 37744",POINT (-82.8487603 36.1619359),-82.8487603,36.1619359
EAST TENNESSEE CORE REGIONAL OFFICE,9470,KNOX COUNTY PRIVATE SCHOOLS,9330,Private,Knox,River's Edge Christian Academy,admin@riversedgeca.com,Principal: Brian Beemer,A,(865) 212-2443,,"P4,PS,PK,K,1,2,3,4,5,6,7,8,9,10,11,12","5600 Western AVE, Knoxville, TN 37921",POINT (-84.01268519999999 35.9773731),-84.01268519999999,35.9773731
EAST TENNESSEE CORE REGIONAL OFFICE,9470,KNOX COUNTY PRIVATE SCHOOLS,9327,Private,Knox,River's Edge Christian Home Education Program,admin@riveredegca.com,Principal: Brian Beemer,A,(865) 212-5575,(865) 317-2443,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12","5600 Western AVE, Knoxville, TN 37921",POINT (-84.01268519999999 35.9773731),-84.01268519999999,35.9773731
MID CUMBERLAND CORE REGIONAL OFFICE,750,RUTHERFORD COUNTY,74,Public,Rutherford,Riverdale High School,blairt@rcschools.net,Principal: Tamera Blair,A,(615) 890-6450,(615) 890-9790,"9,10,11,12","802 Warrior DR, Murfreesboro, TN 37128",POINT (-86.40935759999999 35.8159163),-86.40935759999999,35.8159163
MID CUMBERLAND CORE REGIONAL OFFICE,110,CHEATHAM COUNTY,40,Public,Cheatham,Riverside Academy,matthew_silvey@arch.org,Principal: Matthew Silvey,A,(615) 353-4345,(615) 523-2222,"K,1,2,3,4,5,6,7,8,9,10,11,12","1062 Hwy 70 HWY, Kingston Springs, TN 37082",POINT (-87.1150054 36.10200380000001),-87.1150054,36.10200380000001
SOUTHEAST TENNESSEE CORE REGIONAL OFFICE,9521,FAYETTEVILLE PRIVATE SCHOOLS,9070,Private,Lincoln,Riverside Christian Academy,,Principal: Daniel A. Eldridge,A,(931) 438-4722,,"K,1,2,3,4,5,6,7,8,9,10,11,12","P O Box 617, Fayetteville, TN 37334",POINT (-86.5681384 35.1522493),-86.5681384,35.1522493
SOUTHEAST TENNESSEE CORE REGIONAL OFFICE,9521,FAYETTEVILLE PRIVATE SCHOOLS,9738,Private,Lincoln,Riverside Christian Home School,susan.lemley@riversideumbrella.org,Principal: Susan Lemley,A,(931) 438-4722,,"K,1,2,3,4,5,6,7,8,9,10,11,12","116 Riverside LN, Fayetteville, TN 37334",POINT (-86.56333719999999 35.1213852),-86.56333719999999,35.1213852
SOUTHWEST CORE REGIONAL OFFICE,200,DECATUR COUNTY,3,Public,Decatur,Riverside High School,Hugh.Smith@decaturschools.org,Principal: Hugh Smith,A,(731) 852-3941,,"9,10,11,12","4250 Highway 641 South, Decaturville, TN 38329",POINT (-88.10925999999999 35.9959911),-88.10925999999999,35.9959911
EAST TENNESSEE CORE REGIONAL OFFICE,9730,ROANE COUNTY PRIVATE SCHOOLS,9705,Private,Roane,Roane Academy,jquirk@omnivisions.com,Principal: Jeff Quirk,A,(865) 254-6003,,"6,7,8,9,10,11,12","503 Cardiff Valley RD, Rockwood, TN 37854",POINT (-84.63507729999999 35.8959455),-84.63507729999999,35.8959455
EAST TENNESSEE CORE REGIONAL OFFICE,730,ROANE COUNTY,80,Public,Roane,Roane County High School,kmillsaps@roaneschools.com,Principal: Kent Millsaps,A,(865) 376-6534,(865) 376-8530,"9,10,11,12","540 W. Cumberland ST, Kingston, TN 37763",POINT (-84.5192697 35.8751876),-84.5192697,35.8751876
EAST TENNESSEE CORE REGIONAL OFFICE,730,ROANE COUNTY,84,Public,Roane,Roane County Virtual Academy,mbarber@roaneschools.com,Principal: Michael J. Barber,A,,(865) 285-1305,"K,1,2,3,4,5,6,7,8,9,10,11,12","3096 Roane State HWY, Harriman, TN 37748",POINT (-84.5771615 35.8721221),-84.5771615,35.8721221
MID CUMBERLAND CORE REGIONAL OFFICE,740,ROBERTSON COUNTY,95,Public Charter,Robertson,Robertson Co. Virtual School,maryjo.holmes@rcstn.net,Principal: Dr. Mary Jo Holmes,A,(615) 382-3602,(615) 382-3605,"3,4,5,6,7,8,9,10,11,12","5240 Highway 76 E, Springfield, TN 37172",POINT (-86.85672919999999 36.5103505),-86.85672919999999,36.5103505
MID CUMBERLAND CORE REGIONAL OFFICE,740,ROBERTSON COUNTY,98,Public,Robertson,Robertson County Adult High School,teno.geritano@rcstn.net,Principal: Teno Geritano,A,(615) 382-2328,(615) 672-2328,"9,10,11,12","800 M.S. Couts BLVD, Springfield, TN 37172",POINT (-86.89760570000001 36.5000155),-86.89760570000001,36.5000155
MID CUMBERLAND CORE REGIONAL OFFICE,740,ROBERTSON COUNTY,100,Public,Robertson,Robertson County Phoenix Academy,teno.geritano@rcstn.net,Principal: Teno Geritano,A,(615) 382-2328,(615) 382-2328,"4,5,6,7,8,9,10,11,12","800 M.S. Couts BLVD, Springfield, TN 37172",POINT (-86.89760570000001 36.5000155),-86.89760570000001,36.5000155
EAST TENNESSEE CORE REGIONAL OFFICE,730,ROANE COUNTY,85,Public,Roane,Rockwood High School,cscawood@roaneschools.com,Principal: Christopher Cawood,A,(865) 354-0882,(865) 354-5170,"9,10,11,12","512 West Rockwood ST, Rockwood, TN 37854",POINT (-84.68851409999999 35.8722597),-84.68851409999999,35.8722597
MID CUMBERLAND CORE REGIONAL OFFICE,630,MONTGOMERY COUNTY,78,Public,Montgomery,Rossview High,schanda.doughty@cmcss.net,"Principal: Dr. Schanda Doughty, Ed.D.",A,(931) 553-2070,,"9,10,11,12","1237 Rossview RD, Clarksville, TN 37043",POINT (-87.2558166 36.558425),-87.2558166,36.558425
MID CUMBERLAND CORE REGIONAL OFFICE,750,RUTHERFORD COUNTY,80,Public,Rutherford,Rutherford County Adult High School,martink@rcschools.net,Principal: Dr. Kay Martin,A,(615) 896-0876,(615) 898-7985,"9,10,11,12","2240 Southpark Drive #1, Murfreesboro, TN 37128",POINT (-86.40254209999999 35.8132118),-86.40254209999999,35.8132118
MID CUMBERLAND CORE REGIONAL OFFICE,750,RUTHERFORD COUNTY,89,Public,Rutherford,Rutherford County Virtual School,supakhanj@rcschools.net,Principal: Jessica Supakhan,A,,,"3,4,5,6,7,8,9,10,11,12","1098 Espey DR, Smyrna, TN 37167",POINT (-86.4885465 36.0086632),-86.4885465,36.0086632
SOUTHWEST CORE REGIONAL OFFICE,9570,MADISON COUNTY PRIVATE SCHOOLS,9075,Private,Madison,Sacred Heart Of Jesus High School,anne.keyl@shjhs.org,Principal: Ann Keyl,A,(731) 660-4774,,"9,10,11","146 McClellan RD, Jackson, TN 38305",POINT (-88.88058649999999 35.7037645),-88.88058649999999,35.7037645
EAST TENNESSEE CORE REGIONAL OFFICE,9730,ROANE COUNTY PRIVATE SCHOOLS,9042,Private,Roane,Sail Away Learning Academy,bmurphy@sailawaylearning.com,Principal: Brenda Murphy/Bethany Martin,A,(865) 376-7005,(865) 248-8647,"K,1,2,3,4,5,6,7,8,9,10,11,12","106 Armour DR, Kingston, TN 37763",POINT (-84.5067134 35.8809614),-84.5067134,35.8809614
SOUTHEAST TENNESSEE CORE REGIONAL OFFICE,330,HAMILTON COUNTY,190,Public,Hamilton,Sale Creek Middle / High School,welch_l@hcde.org,Principal: Dr. LeAnn Welch,A,(423) 332-8819,(423) 332-8847,"6,7,8,9,10,11,12","211 Patterson RD, Sale Creek, TN 37373",POINT (-85.1044912 35.3827023),-85.1044912,35.3827023
EAST TENNESSEE CORE REGIONAL OFFICE,50,BLOUNT COUNTY,123,Public,Blount,Samuel Everett School of Innovation,justin.ridge@blountk12.org,Principal: Justin Ridge,A,(865) 984-9420,(865) 984-7189,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12","1500 Jett RD, Maryville, TN 37802",POINT (-83.95452879999999 35.76864610000001),-83.95452879999999,35.76864610000001
SOUTH CENTRAL CORE REGIONAL OFFICE,600,MAURY COUNTY,85,Public,Maury,Santa Fe Unit School,rhubbell@mauryk12.org,Principal: Randy Hubbell,A,(931) 682-2172,(931) 682-2606,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12","2629 Santa Fe PIKE, Santa Fe, TN 38482",POINT (-87.1293206 35.7321048),-87.1293206,35.7321048
SOUTHEAST TENNESSEE CORE REGIONAL OFFICE,9330,HAMILTON COUNTY PRIVATE SCHOOLS,9265,Private,Hamilton,Scholze Middle High School,jeremy.humphrey@cadas.org,Principal: Jeremy Humphrey,A,(423) 425-0215,(423) 267-8900,"7,8,9,10,11,12","911 Pineville RD, Chattanooga, TN 37405",POINT (-85.3302193 35.0700214),-85.3302193,35.0700214
FIRST TENNESSEE CORE REGIONAL OFFICE,901,JOHNSON CITY,45,Public,Washington,Science Hill High School,barnettm@jcschools.org,Principal: Michael Todd Barnett,A,(423) 232-2190,(423) 926-1622,"9,10,11,12","1509 John Exum PKWY, Johnson City, TN 37604",POINT (-82.3712089 36.3268976),-82.3712089,36.3268976
EAST TENNESSEE CORE REGIONAL OFFICE,760,SCOTT COUNTY,48,Public,Scott,Scott High School,melissa.rector@scottcounty.net,Principal: Melissa Rector,A,(423) 663-2801,(423) 663-2368,"9,10,11,12","400 Scott High DR, Huntsville, TN 37756",POINT (-84.5317823 36.4079465),-84.5317823,36.4079465
SOUTHWEST CORE REGIONAL OFFICE,390,HENDERSON COUNTY,39,Public,Henderson,Scotts Hill High School,ivy.beverly@hcschoolstn.org,Principal: Beverly Ivy,A,(731) 549-2909,(731) 549-2909,"9,10,11,12","7871 Highway 100, Reagan, TN 38368",POINT (-88.29211789999999 35.5161746),-88.2921179,35.5161746
NORTHWEST TENNESSEE CORE REGIONAL OFFICE,30,BENTON COUNTY,9,Public,Benton,Senator Frank P. Lashlee Career and Technical Center,randy.shannon@bcos.org,Principal: Randy Shannon,A,(731) 584-4492,(731) 584-4493,"9,10,11,12","155 Schools DR, Camden, TN 38320",POINT (-88.108242 36.07191450000001),-88.108242,36.07191450000001
SOUTHEAST TENNESSEE CORE REGIONAL OFFICE,770,SEQUATCHIE COUNTY,20,Public,Sequatchie,Sequatchie Co High School,rbelknap@sequatchie.k12.tn.us,Principal: Regina Belknap,A,(423) 949-2154,(423) 949-4696,"9,10,11,12","523 Hwy 28, Dunlap, TN 37327",POINT (-85.3162268 35.4889691),-85.3162268,35.4889691
UPPER CUMBERLAND CORE REGIONAL OFFICE,9040,BLEDSOE COUNTY PRIVATE SCHOOLS,9010,Private,Bledsoe,Sequatchie Valley International Preparatory Academy,info@svpacademy.com,Principal: Robert Young,A,(423) 554-4677,,"1,2,3,4,5,6,7,8,9,10,11,12","1050 Ray Hixson RD, Dunlap, TN 37327",POINT (-85.30445259999999 35.4563795),-85.30445259999999,35.4563795
EAST TENNESSEE CORE REGIONAL OFFICE,620,MONROE COUNTY,37,Public,Monroe,Sequoyah High School,tiptond@monroe.k12.tn.us,Principal: Debi Tipton,A,(423) 442-9230,(423) 442-5520,"9,10,11,12","3128 Hwy 411, Madisonville, TN 37354",POINT (-84.3209226 35.5480879),-84.3209226,35.5480879
SOUTHEAST TENNESSEE CORE REGIONAL OFFICE,330,HAMILTON COUNTY,196,Public,Hamilton,Sequoyah High School,myhan_amy@hcde.org,Principal: Amy Myhan,A,(423) 843-4707,(423) 843-4719,"9,10,11,12","9517 Sequoyah Access RD, Soddy Daisy, TN 37379",POINT (-85.13292419999999 35.2305396),-85.13292419999999,35.2305396
EAST TENNESSEE CORE REGIONAL OFFICE,780,SEVIER COUNTY,55,Public,Sevier,Sevier County High School,stephaniehuskey@sevier.org,Principal: Stephanie Huskey,A,(865) 453-5525,(865) 428-5867,"9,10,11,12","1200 Dolly Parton PKWY, Sevierville, TN 37862",POINT (-83.52886699999999 35.865678),-83.52886699999999,35.865678
EAST TENNESSEE CORE REGIONAL OFFICE,9780,SEVIER COUNTY PRIVATE SCHOOLS,9005,Private,Sevier,Seymour Community Christian School,koster316@yahoo.com,Principal: Patrick Koster,A,(865) 577-5500,(865) 577-2646,"P4,PK,K,1,2,3,4,5,6,7,8,9,10,11,12","994 S. Old Sevierville PIKE, Seymour, TN 37865",POINT (-83.77366809999999 35.8875704),-83.7736681,35.8875704
EAST TENNESSEE CORE REGIONAL OFFICE,780,SEVIER COUNTY,70,Public,Sevier,Seymour High School,greghaggard@sevier.org,Principal: Mr. Greg Haggard,A,(865) 577-7040,(865) 579-1492,"10,11,12","732 Boyds Creek RD, Seymour, TN 37865",POINT (-83.7429059 35.8826931),-83.7429059,35.8826931
SOUTHWEST CORE REGIONAL OFFICE,792,SHELBY COUNTY,2663,Public,Shelby,Sheffield Career  Technology Center,yancytaylorpn@scsk12.org,Principal: Dr. Pamela Yancy-Taylor,A,(901) 416-2340,(901) 416-2394,"10,11,12","4350 Chuck Ave, Memphis, TN 38118",POINT (-89.91839030000001 35.0578031),-89.91839030000001,35.0578031
SOUTHWEST CORE REGIONAL OFFICE,792,SHELBY COUNTY,2660,Public,Shelby,Sheffield High,blackm@scsk12.org,Principal: Melanie Black,A,(901) 416-2370,(901) 416-2407,"9,10,11,12","4315 Sheffield Ave, Memphis, TN 38118",POINT (-89.9198705 35.0615173),-89.9198705,35.0615173
SOUTH CENTRAL CORE REGIONAL OFFICE,20,BEDFORD COUNTY,20,Public,Bedford,Shelbyville Central High School,harwellt@bedfordk12tn.net,Principal: Tim Harwell,A,(931) 684-5672,(615) 684-9359,"9,10,11,12","401 Eagle BLVD, Shelbyville, TN 37160",POINT (-86.4153594 35.4905073),-86.4153594,35.4905073
MID CUMBERLAND CORE REGIONAL OFFICE,9630,MONTGOMERY COUNTY PRIVATE SCHOOLS,9135,Private,Montgomery,Shem Learning Academy,amopho@hotmail.com,Principal: Donna Alexander,A,(931) 241-1850,,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12","601 Tylertown RD, Clarksville, TN 37040",POINT (-87.28590319999999 36.6323735),-87.28590319999999,36.6323735
SOUTHEAST TENNESSEE CORE REGIONAL OFFICE,9060,BRADLEY COUNTY PRIVATE SCHOOLS,9080,Private,Bradley,Shenandoah Baptist Academy,school_office1@yahoo.com,Principal: Robert Nelms,A,(423) 339-0992,(423) 339-0117,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12","138 Osment RD, Cleveland, TN 37323",POINT (-84.77021549999999 35.1353277),-84.77021549999999,35.1353277
SOUTHWEST CORE REGIONAL OFFICE,792,SHELBY COUNTY,2675,Public,Shelby,Shrine School,reeselc@scsk12.org,Principal: Charlie Reese,A,(901) 416-2400,(901) 416-2395,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12","4259 Forest View Dr, Memphis, TN 38118",POINT (-89.92196989999999 35.0593081),-89.9219699,35.0593081
FIRST TENNESSEE CORE REGIONAL OFFICE,100,CARTER COUNTY,52,Public,Carter,Siam Learning Center,mikeensor@carterk12.net,Principal: Mike Ensor,A,(423) 547-4050,(423) 547-4061,"7,8,9,10,11,12","2543 Siam RD, Elizabethton, TN 37643",POINT (-82.15683969999999 36.3281279),-82.15683969999999,36.3281279
MID CUMBERLAND CORE REGIONAL OFFICE,750,RUTHERFORD COUNTY,104,Public,Rutherford,Siegel High School,creasyl@rcschools.net,Principal: Larry Creasy,A,(615) 904-3800,,"9,10,11,12","3300 Siegel RD, Murfreesboro, TN 37129",POINT (-86.4003783 35.9084144),-86.4003783,35.9084144
SOUTHEAST TENNESSEE CORE REGIONAL OFFICE,330,HAMILTON COUNTY,210,Public,Hamilton,Signal Mountain Middle/High School,Harwood_Shane@hcde.org,Principal: Dr. Shane Harwood,A,(423) 886-0876,(423) 886-0894,"6,7,8,9,10,11,12","2650 Sam Powell TRL, Signal Mountain, TN 37377",POINT (-85.3680397 35.161749),-85.3680397,35.161749
SOUTHEAST TENNESSEE CORE REGIONAL OFFICE,9330,HAMILTON COUNTY PRIVATE SCHOOLS,9081,Private,Hamilton,Silverdale Baptist Academy,bhansard@silverdaleba.com,Principal: Becky Hansard,A,(423) 892-2316,(423) 648-7600,"K,1,2,3,4,5,6,7,8,9,10,11,12","7236 Bonny Oaks DR, Chattanooga, TN 37421",POINT (-85.13891769999999 35.0617071),-85.1389177,35.0617071
SOUTHEAST TENNESSEE CORE REGIONAL OFFICE,9330,HAMILTON COUNTY PRIVATE SCHOOLS,9120,Private,Hamilton,Skyuka Hall,mcobert@skyukahall.org,Principal: Melanie Cobert,A,(423) 877-9711,,"K,1,2,3,4,5,6,7,8,9,10,11,12","5600 Brainerd Road #A-24, Chattanooga, TN 37411",POINT (-85.2151665 35.0084556),-85.2151665,35.0084556
UPPER CUMBERLAND CORE REGIONAL OFFICE,800,SMITH COUNTY,45,Public,Smith,Smith County High School,whitakerd3@smithcoedu.net,Principal: Dustin Whitaker,A,(615) 735-9219,(615) 735-0756,"9,10,11,12","312 Fite AVE, Carthage, TN 37030",POINT (-85.94761969999999 36.2538725),-85.94761969999999,36.2538725
MID CUMBERLAND CORE REGIONAL OFFICE,750,RUTHERFORD COUNTY,98,Public,Rutherford,Smyrna High School,southerlands@rcschools.net,Principal: Dr. Sherri Southerland,A,(615) 904-3865,(615) 223-9641,"9,10,11,12","100 Bulldog DR, Smyrna, TN 37167",POINT (-86.5077082 35.9593409),-86.5077082,35.9593409
MID CUMBERLAND CORE REGIONAL OFFICE,750,RUTHERFORD COUNTY,92,Public,Rutherford,Smyrna West Alternative School,sidesj@rcschools.net,Principal: Judy Sides,A,(615) 904-3856,(615) 904-3857,"6,7,8,9,10,11,12","12619 Old Nashville HWY, Smyrna, TN 37167",POINT (-86.532641 35.969195),-86.532641,35.969195
SOUTHEAST TENNESSEE CORE REGIONAL OFFICE,330,HAMILTON COUNTY,220,Public,Hamilton,Soddy Daisy High School,henry_s@hcde.org,Principal: Steve Henry,A,(423) 332-8828,(423) 332-8831,"9,10,11,12","618 Sequoyah- Access RD, Soddy Daisy, TN 37379",POINT (-85.1741869 35.2322768),-85.1741869,35.2322768
SOUTHWEST CORE REGIONAL OFFICE,9240,FAYETTE COUNTY PRIVATE SCHOOLS,9060,Private,Fayette,Somerville Christian School Formally MCCS,somerville_christian_school@yahoo.com,Principal: Bridgette Prouse,A,(901) 465-2870,,"K,1,2,3,4,5,6,7,8,9,10,11,12","17385 US Highway 64, Somerville, TN 38086",POINT (-89.3392322 35.2419825),-89.3392322,35.2419825
SOUTHWEST CORE REGIONAL OFFICE,9200,DECATUR COUNTY PRIVATE SCHOOLS,9070,Private,Decatur,Souls Harbor Lighthouse Christian Academy,shlca@juno.com,Principal: Sarah Stone,A,(731) 549-3090,(731) 549-2815,"K,1,2,3,4,5,6,7,8,9,10,11,12","713 Peace Chapel RD, Scotts Hill, TN 38374",POINT (-88.2249504 35.5137658),-88.2249504,35.5137658
SOUTHWEST CORE REGIONAL OFFICE,792,SHELBY COUNTY,8232,Public Charter,Shelby,Soulsville Charter School,nbrown@tscsmemphis.org,Principal: NeShante Brown,A,(901) 261-6366,,"6,7,8,9,10,11,12","1115 College ST, Memphis, TN 38106",POINT (-90.0311973 35.1164187),-90.0311973,35.1164187
EAST TENNESSEE CORE REGIONAL OFFICE,470,KNOX COUNTY,65,Public,Knox,South Doyle High School,Tim.Berry@knoxschools.org,Principal: Tim Berry,A,(865) 577-4475,(865) 577-4540,"9,10,11,12","2020 Tipton Station RD, Knoxville, TN 37920",POINT (-83.88421339999999 35.8887952),-83.8842134,35.8887952
NORTHWEST TENNESSEE CORE REGIONAL OFFICE,660,OBION COUNTY,50,Public,Obion,South Fulton Middle / High School,kjackson@ocboe.com,Principal: Kimberly Jackson,A,(731) 479-1441,(731) 479-0586,"6,7,8,9,10,11,12","1302 South Fulton DR, South Fulton, TN 38257",POINT (-88.89998039999999 36.4943585),-88.89998039999999,36.4943585
NORTHWEST TENNESSEE CORE REGIONAL OFFICE,275,GIBSON CO SP DIST,37,Public,Gibson,South Gibson County High School,rogersp@gcssd.org,Principal: Phil Rogers,A,,(731) 783-0011,"9,10,11,12","100 Mount Zion RD, Medina, TN 38355",POINT (-88.8131684 35.8210542),-88.8131684,35.8210542
FIRST TENNESSEE CORE REGIONAL OFFICE,300,GREENE COUNTY,80,Public,Greene,South Greene High School,Lori.Wilhoit@gcstn.org,Principal: Lori Wilhoit,A,(423) 636-3790,(423) 636-3791,"9,10,11,12","7469 Asheville HWY, Greeneville, TN 37743",POINT (-82.8551755 36.05259210000001),-82.8551755,36.05259210000001
MID CUMBERLAND CORE REGIONAL OFFICE,9740,ROBERTSON COUNTY PRIVATE SCHOOLS,9080,Private,Robertson,South Haven Christian School,info@shcspatriots.org,Principal: Dr. Steve Blaser,A,(615) 384-5073,(615) 425-2403,"K,1,2,3,4,5,6,7,8,9,10,11,12","112 Academy DR, Springfield, TN 37172",POINT (-86.8553773 36.4750478),-86.8553773,36.4750478
SOUTHEAST TENNESSEE CORE REGIONAL OFFICE,580,MARION COUNTY,55,Public,Marion,South Pittsburg High School,tbible@mctns.net,Principal: Tim Bible,A,(423) 837-7561,(423) 837-4532,"7,8,9,10,11,12","717 Elm AVE, South Pittsburg, TN 37380",POINT (-85.70952199999999 35.006323),-85.70952199999999,35.006323
SOUTHWEST CORE REGIONAL OFFICE,570,MADISON COUNTY,105,Public,Madison,South Side High School,aatucker@jmcss.org,Principal: Mrs. Anita Tucker,A,(731) 422-9923,(731) 423-3411,"9,10,11,12","84 Harts Bridge RD, Jackson, TN 38301",POINT (-88.81324339999999 35.5690322),-88.81324339999999,35.5690322
SOUTHWEST CORE REGIONAL OFFICE,792,SHELBY COUNTY,2703,Public,Shelby,Southwest Career  Technology Center,McClainl@scsk12.org,Principal: Leroy McClain,A,(901) 416-8186,(901) 416-8188,"10,11,12","3746 Horn Lake RD, Memphis, TN 38109",POINT (-90.0693017 35.0471852),-90.0693017,35.0471852
SOUTHWEST CORE REGIONAL OFFICE,792,SHELBY COUNTY,178,Public,Shelby,Southwind High,hardimancr@scsk12.org,Principal: Christopher R Hardiman,A,(901) 752-2881,,"9,10,11,12","7900 E Shelby Dr, Memphis, TN 38125",POINT (-89.8002949 35.0233358),-89.8002949,35.0233358
MID CUMBERLAND CORE REGIONAL OFFICE,220,DICKSON COUNTY,7001,Private,Dickson,Special Services,WBurton@dcstn.org,Principal: William Burton,A,(931) 289-4135,,"P4,PK,K,1,2,3,4,5,6,7,8,9,10,11","115 Academy ST, Dickson, TN 37055",POINT (-87.3819968 36.0748413),-87.3819968,36.0748413
MID CUMBERLAND CORE REGIONAL OFFICE,9940,WILLIAMSON COUNTY PRIVATE SCHOOLS,9722,Private,Williamson,Spring Hill Christian Academy,hmccclure@shchristian.com,Principal: Heath McClure,A,(615) 392-0088,,"K,1,2,3,4,5,6,7,8,9,10","2001 Campbell Station Pkwy C-6, Spring Hill, TN 37174",POINT (-86.9129068 35.7774319),-86.9129068,35.7774319
SOUTH CENTRAL CORE REGIONAL OFFICE,600,MAURY COUNTY,95,Public,Maury,Spring Hill High School,grzybowskic@mauryk12.org,Principal: Dr. Christine Potts,A,(931) 486-2207,(931) 486-3113,"9,10,11,12","One Raider LN, Columbia, TN 38401",POINT (-86.9735034 35.716258),-86.9735034,35.716258
MID CUMBERLAND CORE REGIONAL OFFICE,740,ROBERTSON COUNTY,70,Public,Robertson,Springfield High School,larry.staggs@rcstn.net,Principal: Larry Staggs,A,(615) 384-3516,,"9,10,11,12","5240 Hwy 76 East, Springfield, TN 37172",POINT (-86.85672919999999 36.5103505),-86.85672919999999,36.5103505
SOUTHWEST CORE REGIONAL OFFICE,9792,SHELBY COUNTY PRIVATE SCHOOLS,9175,Private,Shelby,St. Agnes Academy-St. Dominic School,thood@saa-sds.org,Principal: Thomas Hood,A,(901) 767-1356,,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12","4830 Walnut Grove RD, Memphis, TN 38117",POINT (-89.900204 35.1316504),-89.900204,35.1316504
SOUTH CENTRAL CORE REGIONAL OFFICE,9260,FRANKLIN COUNTY PRIVATE SCHOOLS,9080,Private,Franklin,St. Andrew's - Sewanee School,,Principal: William S. Wade,A,(931) 598-5651,,"9,10,11,12","290 Quintard RD, Sewanee, TN 37375",POINT (-85.891288 35.217014),-85.891288,35.217014
EAST TENNESSEE CORE REGIONAL OFFICE,9780,SEVIER COUNTY PRIVATE SCHOOLS,9080,Private,Sevier,St. Andrew's School,,"Principal: James P. Wood, Headmaster",A,(865) 429-5437,,"K,1,2,3,4,5,6,7,8,9,10,11,12","3601 Lyon Springs RD, Sevierville, TN 37862",POINT (-83.6469625 35.700612),-83.6469625,35.700612
SOUTHWEST CORE REGIONAL OFFICE,9792,SHELBY COUNTY PRIVATE SCHOOLS,9087,Private,Shelby,St. Benedict Auburndale High School,,Principal: George Valadie,A,(901) 260-2840,,"9,10,11,12","8250 Varnavas DR, Cordova, TN 38016",POINT (-89.79040259999999 35.1859152),-89.7904026,35.1859152
MID CUMBERLAND CORE REGIONAL OFFICE,9190,DAVIDSON COUNTY PRIVATE SCHOOLS,9200,Private,Davidson,St. Cecilia Academy,sralaura@stcecilia.edu,"Principal: Sister Anna Laura, O. P.",A,(615) 298-4525,,"9,10,11,12","4210 Harding RD, Nashville, TN 37205",POINT (-86.839811 36.1299611),-86.839811,36.1299611
SOUTHWEST CORE REGIONAL OFFICE,9795,COLLIERVILLE PRIVATE SCHOOLS,9135,Private,Shelby,St. George's Independent School - Collierville,rsmith@sgis.org,Principal: Timothy Gibson,A,(901) 457-2000,(901) 457-2111,"6,7,8,9,10,11,12","1880 Wolf River BLVD, Collierville, TN 38107",POINT (-89.7188058 35.1001547),-89.7188058,35.1001547
